job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type,year,month,month_name,country
Senior Machine Learning Engineer,Jobs For Humanity,"New Haven, CT",2024-01-14,East Haven,United States,Agricultural-Research Engineer,Mid-Senior,Onsite,2024,1,January,United States
"Principal Software Engineer, Ml Accelerators",Aurora,"San Francisco, CA",2024-01-14,El Cerrito,United States,Set-Key Driver,Mid-Senior,Onsite,2024,1,January,United States
Senior Etl Data Warehouse Specialist,Adame Services Llc,"New York, NY",2024-01-14,Middletown,United States,Technical Support Specialist,Associate,Onsite,2024,1,January,United States
Senior Data Warehouse Developer / Architect,Morph Enterprise,"Harrisburg, PA",2024-01-12,Lebanon,United States,Architect,Mid-Senior,Onsite,2024,1,January,United States
Lead Data Engineer,Dice,"Plano, TX",2024-01-14,McKinney,United States,Maintenance Data Analyst,Mid-Senior,Onsite,2024,1,January,United States
Senior Data Engineer,University Of Chicago,"Chicago, IL",2024-01-14,East Chicago,United States,Data Base Administrator,Mid-Senior,Onsite,2024,1,January,United States
"Manager, Cyber Risk & Analysis (Machine Learning)",Jobs For Humanity,"Boston, MA",2024-01-16,Beverly,United States,Manager Reports Analysis,Mid-Senior,Onsite,2024,1,January,United States
"Principal Associate, Data Loss Prevention (Dlp) Engineer",Jobs For Humanity,"Scranton, PA",2024-01-14,Nanticoke,United States,Architect,Mid-Senior,Onsite,2024,1,January,United States
Senior Financial Data Analyst,The Walt Disney Company,"Lake Buena Vista, FL",2024-01-15,Avondale,United States,Budget Officer,Mid-Senior,Onsite,2024,1,January,United States
Machine Learning Infrastructure Engineer,L&T Technology Services,"Sunnyvale, CA",2024-01-14,Redwood City,United States,Test Fixture Designer,Mid-Senior,Onsite,2024,1,January,United States
Sr. Workforce Management Data Analyst,"Wisemen Multimedia, Llc","Atlanta, GA",2024-01-13,Stockbridge,United States,Management Analyst,Mid-Senior,Onsite,2024,1,January,United States
Master Data Management - Data/Process Analyst,Opentext,"Pasadena, CA",2024-01-15,West Covina,United States,Actuary,Mid-Senior,Onsite,2024,1,January,United States
4 Corporate Associate Positions (Amlaw),Lhh,"Atlanta, GA",2024-01-16,Crookston,United States,Floor Worker,Associate,Onsite,2024,1,January,United States
Sr. Database Administrator,Dice,"Yorba Linda, CA",2024-01-14,Irvine,United States,Data Base Administrator,Mid-Senior,Onsite,2024,1,January,United States
Senior Mlops Engineer,Recruiting From Scratch,"Atlanta, GA",2024-01-14,Duluth,United States,Value Engineer,Mid-Senior,Onsite,2024,1,January,United States
Data Engineer Manager,Energy Jobline,"Wolverhampton, England, United Kingdom",2024-01-14,Telford,United Kingdom,Agricultural-Research Engineer,Mid-Senior,Onsite,2024,1,January,United Kingdom
Data Analyst Part Time,Toyandsons,"Waterloo, Ontario, Canada",2024-01-14,Stratford,Canada,Data Entry Clerk,Mid-Senior,Onsite,2024,1,January,Canada
Summer 2024 Datacenter Hardware Validation Engineer Undergrad Co-Op/ Intern,Amd,"Austin, TX",2024-01-15,Austin,United States,Die-Maker Apprentice,Mid-Senior,Onsite,2024,1,January,United States
Enterprise Data Manager/Product Owner,Dmvtek,State College-DuBois Area,2024-01-14,Zion,United States,Manager Department,Mid-Senior,Onsite,2024,1,January,Other
It Database Developer Senior - Dba Admin,Experis,"Minneapolis, MN",2024-01-14,Lake Forest,United States,Data Base Administrator,Mid-Senior,Onsite,2024,1,January,United States
Contractor - Epic Clarity Data Analyst - Revenue Cycle,Deloitte,"Mississippi, United States",2024-01-14,Magnolia,United States,Data Entry Clerk,Mid-Senior,Onsite,2024,1,January,Other
Data Engineering Architect,Dice,"Greenwood Village, CO",2024-01-14,Aurora,United States,Value Engineer,Mid-Senior,Onsite,2024,1,January,United States
"Staff Data Engineer, Fleet Analytics",Tesla,"Palo Alto, CA",2024-01-14,San Leandro,United States,Data Communications Analyst,Mid-Senior,Onsite,2024,1,January,United States
